Season,Week,Celebrity,Rank_mean,Rank_sd,Rank_cv,Rank_CI_width
2,3,Tia Carrere,4.173,3.122951140159548,0.7483707500981424,7.0
2,4,Drew Lachey,3.507,2.494829688611063,0.7113857110382272,6.0
2,4,George Hamilton,3.634,1.2679320374734804,0.348908100570578,4.0
2,4,Jerry Rice,1.814,0.9122698264418462,0.5029050862413705,2.0
2,4,Lisa Rinna,3.865,1.5859666737640772,0.41034066591567325,4.0
2,4,Master P,5.689,1.346882731752506,0.23675210612629743,3.0
2,4,Stacy Keibler,5.052,1.1978024589767426,0.2370947068441692,4.0
2,4,Tia Carrere,4.439,2.0650771277469384,0.46521223873551215,5.0
2,5,Drew Lachey,3.753,1.6530951949974697,0.4404730069271169,5.0
2,5,George Hamilton,2.325,1.178458214687209,0.506863748252563,3.0249999999999773
2,5,Jerry Rice,1.619,0.8127112030109462,0.5019834484317148,2.0
2,5,Lisa Rinna,4.677,0.7135686233153614,0.15256972916727848,2.0
2,5,Stacy Keibler,3.974,1.72751506746202,0.43470434510871164,5.0
2,5,Tia Carrere,4.652,1.1463900776830767,0.24642950939017125,3.0
2,6,Drew Lachey,4.092,1.013194237331896,0.24760367481229134,3.0
2,6,George Hamilton,4.56,0.5279002544787024,0.11576759966638211,1.0
2,6,Jerry Rice,3.104,0.3915831167674845,0.1261543546286999,2.0
2,6,Lisa Rinna,1.698,0.8541226642148805,0.5030168811630628,3.0
2,6,Stacy Keibler,1.546,0.6068379126688216,0.39252128891903076,2.0
2,7,Drew Lachey,1.211,0.4082225442643334,0.3370954122744289,1.0
2,7,Jerry Rice,3.174,1.2301370806691574,0.3875668181062248,3.0
2,7,Lisa Rinna,3.334,0.47187568984497036,0.1415344000734764,1.0
2,7,Stacy Keibler,2.281,0.49018290390351166,0.21489824809448121,1.0
3,1,Emmitt Smith,5.353,3.0198527299374236,0.5641421128222349,9.0
3,1,Harry Hamlin,5.259,3.8549681943927605,0.7330230451402853,9.0
3,1,Jerry Springer,9.239,1.842083676783515,0.19938128334056876,5.0
3,1,Joey Lawrence,6.281,0.7500677313427112,0.11941852114993015,3.0
3,1,Mario Lopez,3.584,1.2459921735293913,0.3476540662749418,4.0
3,1,Monique Coleman,5.619,4.631985998931159,0.8243434772968784,10.0
3,1,Sara Evans,8.877,0.961663036513204,0.10833198563852696,3.0
3,1,Shanna Moakler,7.286,3.3432590957599118,0.45886070488058084,9.0
3,1,Tucker Carlson,7.43,1.383117136403498,0.1861530466222743,5.0
3,1,Vivica A. Fox,3.867,1.378118358563665,0.35637919797353634,5.0
3,1,Willa Ford,3.205,1.1628960948112808,0.36283809510492376,4.0
3,2,Emmitt Smith,6.478,3.4510035388891485,0.5327266963397883,8.0
3,2,Harry Hamlin,4.056,2.4163407670903334,0.5957447650617193,7.0
3,2,Jerry Springer,8.693,0.7108137985831847,0.08176852623756871,3.0
3,2,Joey Lawrence,4.086,1.8740640640373307,0.4586549349087936,6.0
3,2,Mario Lopez,5.556,2.3669529920271897,0.4260174571683207,7.0
3,2,Monique Coleman,5.177,1.5582358932777471,0.3009920597407277,6.0
3,2,Sara Evans,3.622,2.6049763726187423,0.7192093795192552,7.0
3,2,Shanna Moakler,5.9,2.2015555516150047,0.37314500874830586,7.0
3,2,Vivica A. Fox,5.736,4.289837608430732,0.7478796388477567,9.0
3,2,Willa Ford,5.696,1.8992606959528202,0.33343762218272827,7.0
3,3,Emmitt Smith,7.406,1.2524906118341697,0.16911836508697944,5.0
3,3,Harry Hamlin,6.556,1.9371671627963902,0.29548004313550796,5.0
3,3,Jerry Springer,5.264,1.3046095224265404,0.24783615547616647,5.0
3,3,Joey Lawrence,2.621,1.7164804995412284,0.654895268806268,5.0
3,3,Mario Lopez,7.346,1.2408963791646035,0.16892136933904212,4.0
3,3,Monique Coleman,3.084,0.930489016490689,0.3017149858919225,4.0
3,3,Sara Evans,5.951,1.5049464654478126,0.2528896766002038,5.0
3,3,Vivica A. Fox,1.672,0.6759237182351814,0.4042605970306109,2.0
3,3,Willa Ford,5.1,3.1342979794243915,0.6145682312596846,8.0
3,4,Emmitt Smith,3.925,1.724630206551349,0.43939623096849656,7.0
3,4,Jerry Springer,4.907,2.935467248662122,0.598220348209114,7.0
3,4,Joey Lawrence,3.158,1.7646954836883757,0.5588016097809929,4.0
3,4,Mario Lopez,2.83,1.7099777846580417,0.6042324327413575,5.0
3,4,Monique Coleman,5.682,1.8494043084994412,0.32548474278413253,5.0
3,4,Sara Evans,4.123,2.0484303910719217,0.4968300730225374,5.0
3,4,Vivica A. Fox,6.12,2.1694022924082814,0.3544774987595231,6.0
3,4,Willa Ford,5.255,1.503407873876958,0.28609093698895494,4.0
3,5,Emmitt Smith,2.804,1.7252711556623672,0.6152892851862937,5.0
3,5,Jerry Springer,6.173,0.8785458683773105,0.14232073033813553,2.0
3,5,Joey Lawrence,3.664,1.4646669414065607,0.3997453442703495,5.0
3,5,Mario Lopez,2.489,1.1589746426139884,0.4656386671811926,4.0
3,5,Monique Coleman,4.235,0.9511465079995193,0.22459185548985106,3.0
3,5,Sara Evans,2.159,1.1769044583584956,0.5451155434731337,5.0
3,5,Willa Ford,6.476,0.5998197927576114,0.09262195688042178,2.0
3,7,Emmitt Smith,3.498,0.7228544241536594,0.20664791999818735,2.0249999999999773
3,7,Jerry Springer,4.031,0.909321651488551,0.22558215120033517,2.0
3,7,Joey Lawrence,2.458,0.860800195734746,0.35020349704424164,3.0
3,7,Mario Lopez,2.013,1.155060675966923,0.5738006338633498,3.0
3,7,Monique Coleman,3.0,2.0010007506255474,0.6670002502085158,4.0
3,8,Emmitt Smith,1.914,0.6580554969279088,0.34381164938762215,2.0
3,8,Joey Lawrence,2.273,0.9630152638449706,0.4236758749867886,3.0
3,8,Mario Lopez,2.359,1.426939086000224,0.6048915158966613,3.0
3,8,Monique Coleman,3.454,0.5311931533502349,0.15379072187325848,1.0
4,2,Apolo Anton Ohno,8.425,2.2296516199501544,0.2646470765519471,7.0
4,2,Billy Ray Cyrus,8.096,1.7063691557502132,0.21076694117468048,7.0
4,2,Clyde Drexler,9.195,1.8661343621126152,0.20295099098560251,6.0
4,2,Heather Mills,3.538,1.1197364912379206,0.3164885503781573,4.0
4,2,Ian Ziering,5.415,1.1975847398865807,0.2211606167842254,4.0
4,2,Joey Fatone,2.333,1.4227210320843418,0.6098247029937169,5.0
4,2,John Ratzenberger,4.667,1.8388834907335734,0.3940183181344704,6.0
4,2,Laila Ali,4.475,3.2514530516289093,0.7265816875148401,8.0
4,2,Leeza Gibbons,5.206,3.7976289953056215,0.7294715703622016,10.0
4,2,Paulina Porizkova,5.165,2.359097357113593,0.45674682615945655,8.0
4,2,Shandi Finnessey,9.485,1.4580469474269,0.15372134395644704,4.0
4,3,Apolo Anton Ohno,6.617,1.2593239840870563,0.19031645520433071,4.0
4,3,Billy Ray Cyrus,9.752,0.6171522315254777,0.06328468329834677,2.0
4,3,Clyde Drexler,7.402,1.0979989078326087,0.14833813939916357,4.0
4,3,Heather Mills,3.471,1.3729690615756946,0.3955543248561494,6.0
4,3,Ian Ziering,1.106,0.33297879042797135,0.30106581413017297,1.0
4,3,Joey Fatone,7.183,1.653555334799911,0.23020400038979688,6.0
4,3,John Ratzenberger,5.908,2.783753811903144,0.4711837867134638,8.0
4,3,Laila Ali,5.981,1.4982936574263017,0.25050888771548263,5.0
4,3,Leeza Gibbons,2.539,0.7688108155262061,0.3028006362844451,2.0
4,3,Shandi Finnessey,5.041,2.3364027430598893,0.46348001250940074,7.0
4,4,Apolo Anton Ohno,6.403,2.7342397603478497,0.4270247946818444,8.0
4,4,Billy Ray Cyrus,5.013,2.0437729834812886,0.407694590760281,6.0
4,4,Clyde Drexler,6.629,2.3342681525068634,0.3521297559974149,7.0
4,4,Heather Mills,3.43,1.5183561523586637,0.4426694321745375,5.0
4,4,Ian Ziering,4.609,3.109950287511167,0.6747559747257902,8.0
4,4,Joey Fatone,3.356,2.80412680296864,0.8355562583339214,7.0
4,4,John Ratzenberger,5.864,1.9404301763447376,0.33090555531117627,7.0
4,4,Laila Ali,5.288,2.5102504570973307,0.4747069699503273,7.0
4,4,Leeza Gibbons,4.408,1.3847214353267783,0.3141382566530803,6.0
4,5,Apolo Anton Ohno,2.59,1.0568902577926513,0.4080657365994793,4.0
4,5,Billy Ray Cyrus,4.5,3.5017513135947076,0.7781669585766017,7.0
4,5,Clyde Drexler,6.178,1.87184930478386,0.30298629083584655,5.0
4,5,Heather Mills,5.998,0.9669182648657181,0.1612067797375322,4.0
4,5,Ian Ziering,6.733,0.44486954144884866,0.06607300481937453,1.0
4,5,Joey Fatone,3.906,1.3671258292611668,0.3500066127140724,5.0
4,5,John Ratzenberger,3.846,1.0427710062000053,0.27113130686427594,4.0
4,5,Laila Ali,2.249,1.2282131360262794,0.5461152227773585,3.0
4,6,Apolo Anton Ohno,2.069,1.2295327367543945,0.5942642516937624,4.0
4,6,Billy Ray Cyrus,2.461,1.067529212068044,0.4337786314782788,3.0
4,6,Heather Mills,3.145,1.4526131918322527,0.4618801881819563,4.0
4,6,Ian Ziering,5.263,1.0559100084505053,0.2006289204732102,4.0
4,6,Joey Fatone,4.701,2.3738648306578525,0.504970183079739,5.0
4,6,John Ratzenberger,5.821,0.6778041150792892,0.11644118108216615,2.0
4,6,Laila Ali,4.54,1.8766784279470796,0.4133652924993567,5.0
4,7,Apolo Anton Ohno,2.651,0.8160054318844114,0.3078104231929127,4.0
4,7,Billy Ray Cyrus,4.861,0.6768582843824379,0.13924260118955728,3.0
4,7,Ian Ziering,3.647,2.3883247465734416,0.6548737994443219,5.0
4,7,Joey Fatone,2.958,1.1660169791197705,0.3941910003785566,4.0
4,7,John Ratzenberger,4.361,1.5909777528960642,0.36481948014126675,4.0
4,7,Laila Ali,2.522,1.4858410829303799,0.5891518964831007,3.0
4,8,Apolo Anton Ohno,1.517,0.5215198778407042,0.3437837032568914,1.0
4,8,Billy Ray Cyrus,4.271,0.8198970857560303,0.19196841155608296,2.0
4,8,Ian Ziering,3.266,0.896687263235097,0.2745521320376904,3.0
4,8,Joey Fatone,2.08,1.1683171508477332,0.5616909379075641,3.0
4,8,Laila Ali,3.866,1.1872040487858242,0.3070884761473937,4.0
4,9,Apolo Anton Ohno,1.932,0.8197853670614328,0.42431954816844347,3.0
4,9,Ian Ziering,3.529,0.5398615104361955,0.15297860879461475,1.0
4,9,Joey Fatone,3.215,0.7247760345791658,0.2254357805844995,2.0
4,9,Laila Ali,1.324,0.4870947148771595,0.3678963103301809,1.0
5,1,Albert Reed,6.016,3.6300028816684042,0.6033914364475406,9.0
5,1,Cameron Mathison,7.834,2.7622588716617553,0.3525987837199075,9.0
5,1,Floyd Mayweather Jr. ,7.659,3.855850954923775,0.5034405215986127,10.0
5,1,Helio Castroneves,2.354,2.229720981570487,0.9472051748387795,7.0
5,1,Jane Seymour,5.98,1.6977875257176567,0.283910957477869,6.0
5,1,Jennie Garth,6.345,1.6955382183394894,0.2672243054908573,6.0
5,1,Josie Maran,4.337,3.1127351509757655,0.7177161980575895,8.0
5,1,Marie Osmond,7.143,2.482884555454747,0.34759688582594805,8.0
5,1,Mark Cuban,6.643,4.207999317758768,0.6334486403370115,10.0
5,1,Mel B,11.573,0.6041821215792768,0.05220618003795703,2.0
5,1,Sabrina Bryan,4.647,1.5207576084648413,0.32725577974281067,6.0
5,1,Wayne Newton,7.469,2.0936624423298094,0.2803136219480264,7.0
5,2,Albert Reed,7.472,0.9230753317406268,0.12353791913016954,3.0
5,2,Cameron Mathison,6.141,4.524332944046955,0.736742052442103,10.0
5,2,Floyd Mayweather Jr. ,8.42,1.2251943115690267,0.14551001325047824,5.0
5,2,Helio Castroneves,6.525,3.262210449529125,0.499955624448908,8.0
5,2,Jane Seymour,5.14,1.29617903087501,0.2521749087305467,5.0
5,2,Jennie Garth,4.448,1.2036381286519404,0.27060209726887147,5.0
5,2,Marie Osmond,4.306,3.369527818213958,0.7825192332127167,9.0
5,2,Mark Cuban,7.126,2.9107725085613607,0.40847214546188054,7.0
5,2,Mel B,2.035,0.9500935099650336,0.4668764176732352,3.0
5,2,Sabrina Bryan,4.579,1.7414912551580015,0.38032130490456467,5.0
5,2,Wayne Newton,9.808,1.3641836375638718,0.1390888700615693,4.0
5,3,Cameron Mathison,1.776,0.8880386323874726,0.5000217524704238,2.0
5,3,Floyd Mayweather Jr. ,6.33,1.8276871834207409,0.28873415219916915,6.0
5,3,Helio Castroneves,7.525,0.8832639215744946,0.11737726532551424,3.0
5,3,Jane Seymour,3.037,1.643268490336053,0.541082808803442,7.0
5,3,Jennie Garth,4.335,1.1662483162410717,0.26903075345814803,5.0
5,3,Marie Osmond,5.922,2.1676288000058066,0.36602985477977146,8.0
5,3,Mark Cuban,9.034,0.7870600126187732,0.08712198501425428,3.0
5,3,Mel B,5.427,1.2157915730704623,0.2240264553289962,4.0
5,3,Sabrina Bryan,2.28,1.2227408127216066,0.5362898301410556,4.0
5,3,Wayne Newton,9.334,1.198282053558293,0.12837819301031636,4.0
5,4,Cameron Mathison,5.094,1.222562333240583,0.2400004580370206,4.024999999999999
5,4,Floyd Mayweather Jr. ,3.521,1.0240154332858502,0.29083085296388816,3.0
5,4,Helio Castroneves,1.717,0.8773144708031897,0.5109577581847348,3.0
5,4,Jane Seymour,3.089,1.8693778573561775,0.6051725015720872,7.0
5,4,Jennie Garth,6.664,2.12876387503068,0.3194423581978812,6.0
5,4,Marie Osmond,5.624,2.3749240544203225,0.42228379346022804,7.0
5,4,Mark Cuban,6.547,1.4899701376239092,0.22758059227492122,5.0
5,4,Mel B,5.066,3.271444076603839,0.6457647210035213,8.0
5,4,Sabrina Bryan,7.678,0.8803925778259895,0.11466431073534637,3.0
5,5,Cameron Mathison,6.874,1.1745226704936365,0.17086451418295556,4.0
5,5,Helio Castroneves,3.992,1.3622744920873295,0.34125112527237716,4.0
5,5,Jane Seymour,3.64,2.3190036174568114,0.6370889058947283,6.0
5,5,Jennie Garth,5.152,2.1064978835340264,0.4088699308101759,7.0
5,5,Marie Osmond,4.307,2.0176277708789154,0.4684531624980068,6.0
5,5,Mark Cuban,5.452,2.6549472207079265,0.48696757533160795,7.0
5,5,Mel B,2.21,1.125685198964243,0.5093598185358565,3.0
5,5,Sabrina Bryan,4.373,1.8246096021341662,0.41724436362546674,6.0
5,6,Cameron Mathison,2.506,1.4953929918921647,0.5967250566209756,6.0
5,6,Helio Castroneves,3.801,2.7310909647717443,0.718519064659759,6.0
5,6,Jane Seymour,5.574,1.0438455889707123,0.18727046806076647,4.0
5,6,Jennie Garth,2.501,0.7172959734401926,0.2868036679089135,3.0
5,6,Marie Osmond,6.16,0.8325221276897649,0.13514969605353325,2.0
5,6,Mel B,3.012,1.6051269209730528,0.5329106643336828,6.0
5,6,Sabrina Bryan,4.446,0.7808288504491198,0.17562502259314436,3.0
5,7,Cameron Mathison,1.794,0.766910785001849,0.427486502230685,2.0
5,7,Helio Castroneves,3.001,1.2355264163608666,0.41170490381901587,4.0
5,7,Jane Seymour,4.037,1.7846052268823533,0.44206223108306997,5.0
5,7,Jennie Garth,5.086,1.023548558521603,0.20124824194290267,3.0
5,7,Marie Osmond,3.399,1.590700892477693,0.46799084803697943,4.0
5,7,Mel B,3.683,1.6208448840460146,0.44008821179636565,5.0
5,8,Cameron Mathison,2.972,1.1119588357724635,0.3741449649301694,3.0
5,8,Helio Castroneves,3.267,0.6066952110236895,0.18570407438741646,2.0
5,8,Jennie Garth,3.118,1.1096428737694426,0.35588289729616507,3.0
5,8,Marie Osmond,4.643,0.6180072272497571,0.1331051534029199,2.0
5,8,Mel B,1.0,0.0,0.0,0.0
5,9,Helio Castroneves,2.392,1.3461605209439726,0.5627761375183833,3.0
5,9,Jennie Garth,2.656,1.411969425185141,0.5316149944221162,3.0
5,9,Marie Osmond,2.809,0.5392678460744808,0.191978585288174,2.0
5,9,Mel B,2.143,0.8057296073747073,0.3759820846358877,3.0
6,3,Adam Carolla,4.863,3.9326450000854005,0.8086870244880526,9.0
6,3,Cristian de la Fuente,3.22,1.0003002552237006,0.3106522531750623,3.0
6,3,Jason Taylor,7.009,2.2040364735586335,0.31445805015817285,8.0
6,3,Kristi Yamaguchi,3.758,1.5517228630924542,0.4129118848037398,6.0
6,3,Mario,6.719,0.5606722334424573,0.0834457855994132,2.0
6,3,Marissa Jaret Winokur,7.297,2.684771684705982,0.3679281464582681,8.0
6,3,Marlee Matlin,8.639,0.7894949666098591,0.09138730948140515,2.0
6,3,Priscilla Presley,3.12,1.921794290056377,0.6159597083514028,6.0
6,3,Shannon Elizabeth,2.893,1.0957881874485378,0.3787722735736391,4.0
6,3,Steve Guttenberg,7.482,1.973720236399164,0.26379580812605774,6.0
6,4,Adam Carolla,7.371,1.4985341519647142,0.20330133658454946,5.0
6,4,Cristian de la Fuente,6.176,1.4453764606887414,0.23403116267628585,5.0
6,4,Jason Taylor,3.466,1.0798194339842242,0.31154628793543687,3.0
6,4,Kristi Yamaguchi,2.255,1.360818440067163,0.603467157457722,5.0
6,4,Mario,4.775,3.155365483003725,0.6608095252363821,8.0
6,4,Marissa Jaret Winokur,7.028,2.240588368316732,0.3188088173472869,6.0
6,4,Marlee Matlin,5.754,2.2504551869674163,0.39111143325815373,6.0
6,4,Priscilla Presley,5.534,1.0908868108259602,0.19712446888795812,5.0
6,4,Shannon Elizabeth,2.641,1.9935127521771947,0.7548325453151059,7.0
6,5,Cristian de la Fuente,3.558,1.9324519063537828,0.5431286976823448,6.0
6,5,Jason Taylor,5.88,2.4506337151042388,0.4167744413442583,7.0
6,5,Kristi Yamaguchi,4.518,2.53773838606664,0.5616950832374148,7.0
6,5,Mario,4.366,1.2188230099278277,0.27916239347865957,5.0
6,5,Marissa Jaret Winokur,5.372,0.9415426185269058,0.1752685440295804,3.0
6,5,Marlee Matlin,2.65,1.6680174706166246,0.6294405549496697,6.0
6,5,Priscilla Presley,2.508,1.4013921292414553,0.5587687915635786,4.0
6,5,Shannon Elizabeth,7.148,0.8676686284802791,0.1213862099160995,3.0
6,6,Cristian de la Fuente,3.02,1.9165785330304816,0.6346286533213515,4.0
6,6,Jason Taylor,3.405,0.8864314755020609,0.26033229823849074,3.0
6,6,Kristi Yamaguchi,2.143,0.8748235915407838,0.4082237944660681,3.0
6,6,Mario,4.058,1.1445287003592115,0.28204255799882,3.0
6,6,Marissa Jaret Winokur,2.455,1.2504153464103593,0.5093341533239752,3.0
6,6,Marlee Matlin,6.014,0.38203396439315435,0.06352410448838615,2.0
6,6,Shannon Elizabeth,6.905,0.34072142740234446,0.04934416037687827,1.0
6,7,Cristian de la Fuente,3.719,1.5278656267399213,0.4108270036945204,5.0
6,7,Jason Taylor,3.455,1.7398281530087971,0.5035682063701294,4.0
6,7,Kristi Yamaguchi,2.044,0.805427037485527,0.3940445388872441,3.0
6,7,Mario,3.435,0.9003252665484768,0.2621034254871839,4.0
6,7,Marissa Jaret Winokur,3.107,2.140124092460793,0.6888072392857395,5.0
6,7,Shannon Elizabeth,5.24,0.8689966370217754,0.16583905286675102,2.0
6,8,Cristian de la Fuente,1.871,0.9355395417801613,0.5000211340353614,3.0
6,8,Jason Taylor,2.74,1.695663668088479,0.6188553533169631,4.0
6,8,Kristi Yamaguchi,3.105,0.7486892115795016,0.24112373963913097,3.0
6,8,Mario,4.645,0.5721034017573242,0.1231654255667006,2.0
6,8,Marissa Jaret Winokur,2.639,1.0852911392142004,0.41125090534831393,4.0
6,9,Cristian de la Fuente,1.982,0.9584334064475186,0.48356882262740597,2.0
6,9,Jason Taylor,1.553,0.532423209932169,0.3428352929376491,1.0
6,9,Kristi Yamaguchi,2.607,0.8106837905177383,0.31096424645866444,3.0
6,9,Marissa Jaret Winokur,3.858,0.34922479573758497,0.09051964638091886,1.0
7,2,Brooke Burke,5.683,2.117308195325847,0.3725687480777489,6.0
7,2,Cloris Leachman,5.563,2.4872107303598576,0.4470988190472511,7.0
7,2,Cody Linley,6.14,3.8847768908254547,0.6326998193526799,8.0
7,2,Kim Kardashian,8.566,2.199655082616928,0.2567890593762465,6.0
7,2,Lance Bass,5.527,1.8500523489062934,0.33472993466732287,6.0
7,2,Maurice Greene,8.365,1.3956083701105846,0.16683901615189295,5.0
7,2,Misty May-Treanor,2.687,1.2524374633488091,0.46610996030845153,5.0
7,2,Rocco DiSpirito,7.987,3.075107687104191,0.385014108814848,8.0
7,2,Susan Lucci,6.155,1.3515923208578102,0.2195925785309196,5.0
7,2,Toni Braxton,5.524,4.537842661002695,0.8214776721583444,10.0
7,2,Warren Sapp,3.803,2.819599464665352,0.741414531860466,8.0
7,4,Brooke Burke,5.605,1.2532140860784902,0.22358859698099734,4.0
7,4,Cloris Leachman,8.492,0.8189057373145009,0.09643261155375657,3.0
7,4,Cody Linley,5.326,1.8818249826339497,0.3533280102579703,6.0
7,4,Lance Bass,3.632,2.1496970012532457,0.591876927657832,6.0
7,4,Maurice Greene,7.119,1.115384724246788,0.15667716311936902,4.0
7,4,Rocco DiSpirito,4.868,2.6445357947226897,0.5432489307154251,8.0
7,4,Susan Lucci,2.603,0.6766452902731599,0.25994824828012286,2.0
7,4,Toni Braxton,2.843,1.7536893756952585,0.6168446625730772,5.0
7,4,Warren Sapp,4.512,2.8590260631953024,0.6336493934386752,7.0
7,5,Brooke Burke,1.595,0.8047500373548439,0.5045454779654194,2.0
7,5,Cloris Leachman,6.995,1.0440618109408393,0.14925830034894055,3.0
7,5,Cody Linley,2.295,1.125718544860234,0.4905091698737403,3.0
7,5,Lance Bass,5.345,0.9480895916915625,0.17737878235576474,3.0
7,5,Maurice Greene,4.348,2.1880776228652588,0.5032377237500595,7.0
7,5,Susan Lucci,2.938,0.8287598221697543,0.28208298916601576,2.0
7,5,Toni Braxton,6.821,1.2200194455202127,0.17886225561064548,3.0
7,5,Warren Sapp,5.663,1.305041813174633,0.2304506115441697,4.0
7,6,Brooke Burke,4.2,0.9470464069394366,0.2254872397474849,3.0
7,6,Cloris Leachman,6.701,0.49177315994352605,0.07338802565938309,1.0
7,6,Cody Linley,2.23,0.6599511614775259,0.2959422248778143,3.0
7,6,Lance Bass,1.599,0.8202876762891612,0.5130004229450664,2.0
7,6,Maurice Greene,5.174,0.6972877528038265,0.13476763680012108,2.0
7,6,Susan Lucci,2.574,1.3077592416932997,0.5080649734628204,4.0
7,6,Warren Sapp,5.522,1.2653525663296838,0.22914751291736396,4.0
7,7,Brooke Burke,3.85,1.3323945644122372,0.34607651023694475,5.0
7,7,Cody Linley,3.543,1.869129381462034,0.5275555691397217,5.0
7,7,Lance Bass,2.852,1.2504637778279144,0.43845153500277506,4.0
7,7,Maurice Greene,3.79,1.2072105687730526,0.3185252160351062,5.0
7,7,Susan Lucci,3.95,1.9507191764334777,0.49385295605910823,5.0
7,7,Warren Sapp,3.015,2.086894853635451,0.6921707640581926,5.0
7,8,Brooke Burke,1.723,0.4801057190885165,0.2786452229184658,1.0
7,8,Cody Linley,3.22,0.44922355437109684,0.13951042061214186,1.0
7,8,Lance Bass,4.251,0.7697997087500044,0.18108673459186175,2.0
7,8,Maurice Greene,4.514,0.5622456048028478,0.12455596030191576,2.0
7,8,Warren Sapp,1.292,0.45490981847278583,0.3520973827188745,1.0
7,9,Brooke Burke,3.007,0.9899146078985454,0.3292033947118541,2.0
7,9,Cody Linley,3.475,0.5016239892854274,0.1443522271324971,1.0
7,9,Lance Bass,1.427,0.4948898017901722,0.3468043460337577,1.0
7,9,Warren Sapp,2.091,0.9998593494680732,0.4781728117972612,3.0
8,2,Belinda Carlisle,10.32,1.1030942012434009,0.10688897298870163,4.0
8,2,Chuck Wicks,6.963,0.8440043503106743,0.12121274598745861,3.0
8,2,David Alan Grier,10.701,1.868981565476795,0.17465485146031165,6.0
8,2,Denise Richards,3.869,1.1122392171093753,0.28747459734023656,3.0
8,2,Gilles Marini,5.851,4.851838758588268,0.8292323976394236,11.0
8,2,Holly Madison,11.941,1.491221895876916,0.12488249693299688,4.0
8,2,Lawrence Taylor,6.615,2.6615519643356316,0.4023510150167243,8.0
8,2,Lil' Kim,8.258,2.679293678306769,0.32444825360944163,9.0
8,2,Melissa Rycroft,3.357,1.48921750216977,0.4436155800326988,4.0
8,2,Shawn Johnson,5.377,4.1969614586609545,0.7805396054790691,10.0
8,2,Steve Wozniak,5.452,2.277033350849495,0.4176510181308685,6.0
8,2,Steve-O,5.308,1.6946999758092902,0.31927279122254903,5.0
8,2,Ty Murray,6.988,4.936620931996524,0.7064426061815289,12.0
8,3,Chuck Wicks,9.412,1.6670438011747128,0.17711897590041573,6.0
