Celebrity,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,Age,Season,results,placement,Score,Week,Judge_ID,Final_Rank,Final_Status,Elim_Week,Active,Total_Score,Max_Possible_Score,Percent_Score,Standardized_Score,Num_Judges,Week_Rank
Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,1,3rd Place,3,,6,2,3.0,Finalist,,0,,0,,,0,
Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,1,3rd Place,3,,6,3,3.0,Finalist,,0,,0,,,0,
Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,1,3rd Place,3,,6,4,3.0,Finalist,,0,,0,,,0,
Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,1,3rd Place,3,,7,1,3.0,Finalist,,0,,0,,,0,
Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,1,3rd Place,3,,7,2,3.0,Finalist,,0,,0,,,0,
Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,1,3rd Place,3,,7,3,3.0,Finalist,,0,,0,,,0,
Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,1,3rd Place,3,,7,4,3.0,Finalist,,0,,0,,,0,
Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,1,3rd Place,3,,8,1,3.0,Finalist,,0,,0,,,0,
Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,1,3rd Place,3,,8,2,3.0,Finalist,,0,,0,,,0,
Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,1,3rd Place,3,,8,3,3.0,Finalist,,0,,0,,,0,
Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,1,3rd Place,3,,8,4,3.0,Finalist,,0,,0,,,0,
Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,1,3rd Place,3,,9,1,3.0,Finalist,,0,,0,,,0,
Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,1,3rd Place,3,,9,2,3.0,Finalist,,0,,0,,,0,
Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,1,3rd Place,3,,9,3,3.0,Finalist,,0,,0,,,0,
Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,1,3rd Place,3,,9,4,3.0,Finalist,,0,,0,,,0,
Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,1,3rd Place,3,,10,1,3.0,Finalist,,0,,0,,,0,
Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,1,3rd Place,3,,10,2,3.0,Finalist,,0,,0,,,0,
Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,1,3rd Place,3,,10,3,3.0,Finalist,,0,,0,,,0,
Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,1,3rd Place,3,,10,4,3.0,Finalist,,0,,0,,,0,
Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,1,3rd Place,3,,11,1,3.0,Finalist,,0,,0,,,0,
Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,1,3rd Place,3,,11,2,3.0,Finalist,,0,,0,,,0,
Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,1,3rd Place,3,,11,3,3.0,Finalist,,0,,0,,,0,
Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,1,3rd Place,3,,11,4,3.0,Finalist,,0,,0,,,0,
John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,1,2nd Place,2,7.0,1,1,2.0,Finalist,,1,20.0,30,0.1834862385321101,0.7399400733959433,3,1.0
John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,1,2nd Place,2,7.0,1,2,2.0,Finalist,,1,20.0,30,0.1834862385321101,0.7399400733959433,3,1.0
John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,1,2nd Place,2,6.0,1,3,2.0,Finalist,,1,20.0,30,0.1834862385321101,0.7399400733959433,3,1.0
John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,1,2nd Place,2,,1,4,2.0,Finalist,,1,20.0,30,0.1834862385321101,0.7399400733959433,3,1.0
John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,1,2nd Place,2,8.0,2,1,2.0,Finalist,,1,26.0,30,0.21487603305785125,1.4372777341180678,3,1.0
John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,1,2nd Place,2,9.0,2,2,2.0,Finalist,,1,26.0,30,0.21487603305785125,1.4372777341180678,3,1.0
John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,1,2nd Place,2,9.0,2,3,2.0,Finalist,,1,26.0,30,0.21487603305785125,1.4372777341180678,3,1.0
John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,1,2nd Place,2,,2,4,2.0,Finalist,,1,26.0,30,0.21487603305785125,1.4372777341180678,3,1.0
John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,1,2nd Place,2,9.0,3,1,2.0,Finalist,,1,24.0,30,0.22641509433962265,0.6298897789321867,3,2.0
John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,1,2nd Place,2,8.0,3,2,2.0,Finalist,,1,24.0,30,0.22641509433962265,0.6298897789321867,3,2.0
John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,1,2nd Place,2,7.0,3,3,2.0,Finalist,,1,24.0,30,0.22641509433962265,0.6298897789321867,3,2.0
John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,1,2nd Place,2,,3,4,2.0,Finalist,,1,24.0,30,0.22641509433962265,0.6298897789321867,3,2.0
John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,1,2nd Place,2,7.0,4,1,2.0,Finalist,,1,21.0,30,0.22826086956521738,-0.7844645405527362,3,3.0
John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,1,2nd Place,2,8.0,4,2,2.0,Finalist,,1,21.0,30,0.22826086956521738,-0.7844645405527362,3,3.0
John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,1,2nd Place,2,6.0,4,3,2.0,Finalist,,1,21.0,30,0.22826086956521738,-0.7844645405527362,3,3.0
John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,1,2nd Place,2,,4,4,2.0,Finalist,,1,21.0,30,0.22826086956521738,-0.7844645405527362,3,3.0
John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,1,2nd Place,2,9.0,5,1,2.0,Finalist,,1,27.0,30,0.3698630136986301,1.3821894809301767,3,1.0
John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,1,2nd Place,2,9.0,5,2,2.0,Finalist,,1,27.0,30,0.3698630136986301,1.3821894809301767,3,1.0
John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,1,2nd Place,2,9.0,5,3,2.0,Finalist,,1,27.0,30,0.3698630136986301,1.3821894809301767,3,1.0
John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,1,2nd Place,2,,5,4,2.0,Finalist,,1,27.0,30,0.3698630136986301,1.3821894809301767,3,1.0
John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,1,2nd Place,2,9.0,6,1,2.0,Finalist,,1,27.0,30,0.4954128440366973,-1.0,3,2.0
John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,1,2nd Place,2,9.0,6,2,2.0,Finalist,,1,27.0,30,0.4954128440366973,-1.0,3,2.0
John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,1,2nd Place,2,9.0,6,3,2.0,Finalist,,1,27.0,30,0.4954128440366973,-1.0,3,2.0
John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,1,2nd Place,2,,6,4,2.0,Finalist,,1,27.0,30,0.4954128440366973,-1.0,3,2.0
John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,1,2nd Place,2,,7,1,2.0,Finalist,,0,,0,,,0,
John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,1,2nd Place,2,,7,2,2.0,Finalist,,0,,0,,,0,
John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,1,2nd Place,2,,7,3,2.0,Finalist,,0,,0,,,0,
John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,1,2nd Place,2,,7,4,2.0,Finalist,,0,,0,,,0,
John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,1,2nd Place,2,,8,1,2.0,Finalist,,0,,0,,,0,
John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,1,2nd Place,2,,8,2,2.0,Finalist,,0,,0,,,0,
John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,1,2nd Place,2,,8,3,2.0,Finalist,,0,,0,,,0,
John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,1,2nd Place,2,,8,4,2.0,Finalist,,0,,0,,,0,
John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,1,2nd Place,2,,9,1,2.0,Finalist,,0,,0,,,0,
John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,1,2nd Place,2,,9,2,2.0,Finalist,,0,,0,,,0,
John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,1,2nd Place,2,,9,3,2.0,Finalist,,0,,0,,,0,
John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,1,2nd Place,2,,9,4,2.0,Finalist,,0,,0,,,0,
John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,1,2nd Place,2,,10,1,2.0,Finalist,,0,,0,,,0,
John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,1,2nd Place,2,,10,2,2.0,Finalist,,0,,0,,,0,
John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,1,2nd Place,2,,10,3,2.0,Finalist,,0,,0,,,0,
John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,1,2nd Place,2,,10,4,2.0,Finalist,,0,,0,,,0,
John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,1,2nd Place,2,,11,1,2.0,Finalist,,0,,0,,,0,
John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,1,2nd Place,2,,11,2,2.0,Finalist,,0,,0,,,0,
John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,1,2nd Place,2,,11,3,2.0,Finalist,,0,,0,,,0,
John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,1,2nd Place,2,,11,4,2.0,Finalist,,0,,0,,,0,
Kelly Monaco,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1,1st Place,1,5.0,1,1,1.0,Winner,,1,13.0,30,0.11926605504587157,-2.085285661388569,3,3.0
Kelly Monaco,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1,1st Place,1,4.0,1,2,1.0,Winner,,1,13.0,30,0.11926605504587157,-2.085285661388569,3,3.0
Kelly Monaco,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1,1st Place,1,4.0,1,3,1.0,Winner,,1,13.0,30,0.11926605504587157,-2.085285661388569,3,3.0
Kelly Monaco,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1,1st Place,1,,1,4,1.0,Winner,,1,13.0,30,0.11926605504587157,-2.085285661388569,3,3.0
Kelly Monaco,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1,1st Place,1,5.0,2,1,1.0,Winner,,1,17.0,30,0.14049586776859505,-0.7802364842355229,3,5.0
Kelly Monaco,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1,1st Place,1,6.0,2,2,1.0,Winner,,1,17.0,30,0.14049586776859505,-0.7802364842355229,3,5.0
Kelly Monaco,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1,1st Place,1,6.0,2,3,1.0,Winner,,1,17.0,30,0.14049586776859505,-0.7802364842355229,3,5.0
Kelly Monaco,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1,1st Place,1,,2,4,1.0,Winner,,1,17.0,30,0.14049586776859505,-0.7802364842355229,3,5.0
Kelly Monaco,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1,1st Place,1,6.0,3,1,1.0,Winner,,1,21.0,30,0.19811320754716982,-0.04499212706658459,3,4.0
Kelly Monaco,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1,1st Place,1,7.0,3,2,1.0,Winner,,1,21.0,30,0.19811320754716982,-0.04499212706658459,3,4.0
Kelly Monaco,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1,1st Place,1,8.0,3,3,1.0,Winner,,1,21.0,30,0.19811320754716982,-0.04499212706658459,3,4.0
Kelly Monaco,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1,1st Place,1,,3,4,1.0,Winner,,1,21.0,30,0.19811320754716982,-0.04499212706658459,3,4.0
Kelly Monaco,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1,1st Place,1,9.0,4,1,1.0,Winner,,1,26.0,30,0.2826086956521739,1.1766968108291043,3,1.0
Kelly Monaco,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1,1st Place,1,9.0,4,2,1.0,Winner,,1,26.0,30,0.2826086956521739,1.1766968108291043,3,1.0
Kelly Monaco,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1,1st Place,1,8.0,4,3,1.0,Winner,,1,26.0,30,0.2826086956521739,1.1766968108291043,3,1.0
Kelly Monaco,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1,1st Place,1,,4,4,1.0,Winner,,1,26.0,30,0.2826086956521739,1.1766968108291043,3,1.0
Kelly Monaco,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1,1st Place,1,8.5,5,1,1.0,Winner,,1,23.5,30,0.3219178082191781,-0.4319342127906794,3,2.0
Kelly Monaco,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1,1st Place,1,7.5,5,2,1.0,Winner,,1,23.5,30,0.3219178082191781,-0.4319342127906794,3,2.0
Kelly Monaco,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1,1st Place,1,7.5,5,3,1.0,Winner,,1,23.5,30,0.3219178082191781,-0.4319342127906794,3,2.0
Kelly Monaco,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1,1st Place,1,,5,4,1.0,Winner,,1,23.5,30,0.3219178082191781,-0.4319342127906794,3,2.0
Kelly Monaco,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1,1st Place,1,8.5,6,1,1.0,Winner,,1,27.5,30,0.5045871559633027,1.0,3,1.0
Kelly Monaco,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1,1st Place,1,9.5,6,2,1.0,Winner,,1,27.5,30,0.5045871559633027,1.0,3,1.0
Kelly Monaco,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1,1st Place,1,9.5,6,3,1.0,Winner,,1,27.5,30,0.5045871559633027,1.0,3,1.0
Kelly Monaco,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1,1st Place,1,,6,4,1.0,Winner,,1,27.5,30,0.5045871559633027,1.0,3,1.0
Kelly Monaco,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1,1st Place,1,,7,1,1.0,Winner,,0,,0,,,0,
Kelly Monaco,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1,1st Place,1,,7,2,1.0,Winner,,0,,0,,,0,
Kelly Monaco,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1,1st Place,1,,7,3,1.0,Winner,,0,,0,,,0,
