season,week,n_contestants,actual_eliminated,rank_eliminated,percent_eliminated,historical_method,methods_agree,rank_correct,percent_correct
17,8,7,Brant Daugherty,Elizabeth Berkley Lauren,Elizabeth Berkley Lauren,percentage,True,False,False
17,9,6,Elizabeth Berkley Lauren,Bill Engvall,Elizabeth Berkley Lauren,percentage,False,False,True
17,10,5,Leah Remini,Bill Engvall,Bill Engvall,percentage,True,False,False
17,11,4,Bill Engvall,Bill Engvall,Bill Engvall,percentage,True,True,True
18,2,11,Sean Avery,Candace Cameron Bure,Candace Cameron Bure,percentage,True,False,False
18,5,9,Cody Simpson,Candace Cameron Bure,Candace Cameron Bure,percentage,True,False,False
18,6,8,Drew Carey,Candace Cameron Bure,Candace Cameron Bure,percentage,True,False,False
18,7,7,NeNe Leakes,NeNe Leakes,NeNe Leakes,percentage,True,True,True
18,8,6,Danica McKellar,Danica McKellar,Danica McKellar,percentage,True,True,True
18,9,5,Charlie White,Charlie White,Charlie White,percentage,True,True,True
18,10,4,James Maslow,Amy Purdy,Amy Purdy,percentage,True,False,False
19,1,13,Lolo Jones,Antonio Sabato Jr.,Lolo Jones,percentage,False,False,True
19,2,12,Tavis Smiley,Michael Waltrip,Michael Waltrip,percentage,True,False,False
19,3,11,Randy Couture,Michael Waltrip,Alfonso Ribeiro,percentage,False,False,False
19,4,10,Betsey Johnson,Jonathan Bennett,Betsey Johnson,percentage,False,False,True
19,6,9,Jonathan Bennett,Tommy Chong,Tommy Chong,percentage,True,False,False
19,7,8,Antonio Sabato Jr.,Michael Waltrip,Tommy Chong,percentage,False,False,False
19,8,7,Michael Waltrip,Tommy Chong,Tommy Chong,percentage,True,False,False
19,9,6,Lea Thompson,Tommy Chong,Tommy Chong,percentage,True,False,False
19,10,5,Tommy Chong,Tommy Chong,Janel Parrish,percentage,False,True,False
19,11,4,Bethany Mota,Bethany Mota,Bethany Mota,percentage,True,True,True
20,2,12,Redfoo,Chris Soules,Chris Soules,percentage,True,False,False
20,3,11,Charlotte McKinney,Michael Sam,Michael Sam,percentage,True,False,False
20,4,10,Michael Sam,Chris Soules,Chris Soules,percentage,True,False,False
20,5,9,Suzanne Somers,Patti LaBelle,Patti LaBelle,percentage,True,False,False
20,6,8,Patti LaBelle,Robert Herjavec,Nastia Liukin,percentage,False,False,False
20,7,7,Willow Shields,Rumer Willis,Rumer Willis,percentage,True,False,False
20,9,4,Nastia Liukin,Noah Galloway,Nastia Liukin,percentage,False,False,True
21,4,10,Gary Busey,Paula Deen,Paula Deen,percentage,True,False,False
21,6,9,Paula Deen,Paula Deen,Alexa PenaVega,percentage,False,True,False
21,7,8,Hayes Grier,Alek Skarlatos,Bindi Irwin,percentage,False,False,False
21,8,7,Andy Grammer,Alek Skarlatos,Alek Skarlatos,percentage,True,False,False
21,9,6,Alexa PenaVega,Alek Skarlatos,Alexa PenaVega,percentage,False,False,True
21,11,4,Carlos PenaVega,Alek Skarlatos,Carlos PenaVega,percentage,False,False,True
22,2,12,Geraldo Rivera,Geraldo Rivera,Geraldo Rivera,percentage,True,True,True
22,3,11,Mischa Barton,Mischa Barton,Antonio Brown,percentage,False,True,False
22,4,10,Marla Maples,Marla Maples,Marla Maples,percentage,True,True,True
22,6,9,Doug Flutie,Doug Flutie,Doug Flutie,percentage,True,True,True
22,8,6,Jodie Sweetin,Wanya Morris,Nyle DiMarco,percentage,False,False,False
23,2,13,Jake T. Austin,Amber Rose,Amber Rose,percentage,True,False,False
23,3,12,Rick Perry,Amber Rose,Amber Rose,percentage,True,False,False
23,6,9,Amber Rose,Amber Rose,Amber Rose,percentage,True,True,True
23,7,8,Maureen McCormick,Ryan Lochte,Ryan Lochte,percentage,True,False,False
23,8,7,Ryan Lochte,Ryan Lochte,Ryan Lochte,percentage,True,True,True
23,9,6,Marilu Henner,Marilu Henner,Marilu Henner,percentage,True,True,True
23,10,5,Terra Jole,James Hinchcliffe,James Hinchcliffe,percentage,True,False,False
23,11,4,Jana Kramer,Jana Kramer,Jana Kramer,percentage,True,True,True
24,2,12,Chris Kattan,Mr. T,Mr. T,percentage,True,False,False
24,3,11,Charo,Bonner Bolton,Bonner Bolton,percentage,True,False,False
24,4,10,Mr. T,Erika Jayne,Erika Jayne,percentage,True,False,False
24,5,9,Erika Jayne,Rashad Jennings,Rashad Jennings,percentage,True,False,False
24,6,8,Heather Morris,Nick Viall,Normani,percentage,False,False,False
24,8,5,Bonner Bolton,Bonner Bolton,Bonner Bolton,percentage,True,True,True
24,9,4,Simone Biles,David Ross,Simone Biles,percentage,False,False,True
25,4,11,Derek Fisher,Derek Fisher,Victoria Arlen,percentage,False,True,False
25,5,10,Sasha Pieterse,Terrell Owens,Terrell Owens,percentage,True,False,False
25,6,9,Nick Lachey,Nick Lachey,Nick Lachey,percentage,True,True,True
25,8,6,Terrell Owens,Frankie Muniz,Frankie Muniz,percentage,True,False,False
25,9,5,Victoria Arlen,Drew Scott,Drew Scott,percentage,True,False,False
25,10,4,Drew Scott,Drew Scott,Drew Scott,percentage,True,True,True
27,1,13,Nikki Glaser,Nikki Glaser,Joe Amabile,percentage,False,True,False
27,2,12,Danelle Umstead,Danelle Umstead,Danelle Umstead,percentage,True,True,True
27,3,11,Nancy McKeon,Joe Amabile,Joe Amabile,percentage,True,False,False
27,4,10,Tinashe,Joe Amabile,Joe Amabile,percentage,True,False,False
27,6,9,Mary Lou Retton,Mary Lou Retton,Mary Lou Retton,percentage,True,True,True
28,2,12,Mary Wilson,Lamar Odom,Lamar Odom,rank,True,False,False
28,4,10,Lamar Odom,Lamar Odom,Lamar Odom,rank,True,True,True
28,6,9,Sailor Brinkley-Cook,Hannah Brown,Hannah Brown,rank,True,False,False
28,7,8,Karamo Brown,Karamo Brown,Karamo Brown,rank,True,True,True
28,8,7,Kate Flannery,Sean Spicer,Sean Spicer,rank,True,False,False
28,9,6,Sean Spicer,Sean Spicer,Sean Spicer,rank,True,True,True
28,10,5,James Van Der Beek,James Van Der Beek,James Van Der Beek,rank,True,True,True
29,2,15,Charles Oakley,Charles Oakley,Charles Oakley,rank,True,True,True
29,3,14,Carole Baskin,Anne Heche,Carole Baskin,rank,False,False,True
29,4,13,Anne Heche,Anne Heche,Anne Heche,rank,True,True,True
29,5,12,Jesse Metcalfe,Jesse Metcalfe,Jesse Metcalfe,rank,True,True,True
29,6,11,Veron Davis,Skai Jackson,Skai Jackson,rank,True,False,False
29,7,10,Monica Aldama,Monica Aldama,Skai Jackson,rank,False,True,False
29,8,8,Chrishell Stause,Skai Jackson,Chrishell Stause,rank,False,False,True
29,9,7,AJ McLean,Nelly,Nelly,rank,True,False,False
30,2,15,Martin Kove,Martin Kove,Martin Kove,rank,True,True,True
30,3,14,Christine Chiu,Matt James,Matt James,rank,True,False,False
30,5,11,Melanie C,Iman Shumpert,Iman Shumpert,rank,True,False,False
30,6,10,Kenya Moore,"Mike ""The Miz"" Mizanin","Mike ""The Miz"" Mizanin",rank,True,False,False
30,7,9,"Mike ""The Miz"" Mizanin","Mike ""The Miz"" Mizanin",Amanda Kloots,rank,False,True,False
31,1,16,Jason Lewis,Jason Lewis,Jason Lewis,rank,True,True,True
31,2,15,Teresa Giudice,Cheryl Ladd,Cheryl Ladd,rank,True,False,False
31,3,14,Cheryl Ladd,Jessie James Decker,Jessie James Decker,rank,True,False,False
31,4,13,Sam Champion,Sam Champion,Sam Champion,rank,True,True,True
31,5,12,Joseph Baena,Vinny Guadagnino,Vinny Guadagnino,rank,True,False,False
31,6,10,Jessie James Decker,Jessie James Decker,Vinny Guadagnino,rank,False,True,False
31,7,9,Jordin Sparks,Jordin Sparks,Jordin Sparks,rank,True,True,True
32,1,14,Matt Walsh,Matt Walsh,Matt Walsh,rank,True,True,True
32,2,13,Jamie Lynn Spears,Adrian Peterson,Adrian Peterson,rank,True,False,False
32,3,12,Tyson Beckford,Tyson Beckford,Tyson Beckford,rank,True,True,True
32,4,11,Adrian Peterson,Alyson Hannigan,Alyson Hannigan,rank,True,False,False
32,5,10,Mira Sorvino,Alyson Hannigan,Alyson Hannigan,rank,True,False,False
32,6,9,Mauricio Umansky,Barry Williams,Barry Williams,rank,True,False,False
32,7,8,Lele Pons,Harry Jowsey,Harry Jowsey,rank,True,False,False
32,8,7,Barry Williams,Barry Williams,Barry Williams,rank,True,True,True
32,9,6,Harry Jowsey,Harry Jowsey,Harry Jowsey,rank,True,True,True
33,4,9,Brooks Nader,Chandler Kinney,Chandler Kinney,rank,True,False,False
33,5,8,Phaedra Parks,Phaedra Parks,Joey Graziadei,rank,False,True,False
33,6,7,Jenn Tran,Danny Amendola,Danny Amendola,rank,True,False,False
33,7,6,Dwight Howard ,Dwight Howard ,Stephen Nedoroscik,rank,False,True,False
34,3,12,Lauren Jauregui,Lauren Jauregui,Lauren Jauregui,rank,True,True,True
34,4,11,Hilaria Baldwin,Scott Hoying,Scott Hoying,rank,True,False,False
34,6,10,Scott Hoying,Scott Hoying,Scott Hoying,rank,True,True,True
34,7,9,Jen Affleck,Elaine Hendrix,Elaine Hendrix,rank,True,False,False
34,8,8,Danielle Fishel,Danielle Fishel,Jordan Chiles,rank,False,True,False
34,9,7,Andy Richter,Andy Richter,Andy Richter,rank,True,True,True
34,10,6,Whitney Leavitt,Dylan Efron,Dylan Efron,rank,True,False,False
