Season,Week,Celebrity,Rank_mean_sigma0.3,Rank_mean_sigma0.5,Rank_mean_sigma1,Rank_mean_existing,Delta_mean_0.3_minus_0.5,Delta_mean_1_minus_0.5
3,3,Joey Lawrence,4.253333333333333,4.408333333333333,4.741666666666666,2.621,-0.155,0.33333333333333304
3,3,Mario Lopez,6.14,6.293333333333333,6.733333333333333,7.346,-0.153333333,0.4400000000000004
3,3,Monique Coleman,1.7433333333333334,2.23,1.8566666666666667,3.084,-0.486666667,-0.373333333
3,3,Sara Evans,3.8866666666666667,5.401666666666666,6.535,5.951,-1.515,1.1333333333333337
3,3,Vivica A. Fox,1.3016666666666667,1.1566666666666667,1.3766666666666667,1.672,0.14500000000000002,0.21999999999999997
3,3,Willa Ford,6.858333333333333,5.35,5.453333333333333,5.1,1.5083333333333337,0.1033333333333335
3,4,Emmitt Smith,4.966666666666667,5.241666666666666,4.395,3.925,-0.275,-0.846666667
3,4,Jerry Springer,4.611666666666666,3.7783333333333333,5.546666666666667,4.907,0.833333333333333,1.7683333333333335
3,4,Joey Lawrence,2.7116666666666664,2.7416666666666667,3.51,3.158,-0.03,0.7683333333333331
3,4,Mario Lopez,1.1083333333333334,1.0816666666666668,1.7866666666666666,2.83,0.026666666666666616,0.7049999999999998
3,4,Monique Coleman,4.945,3.835,3.566666666666667,5.682,1.1100000000000003,-0.268333333
3,4,Sara Evans,7.98,7.326666666666667,5.858333333333333,4.123,0.6533333333333333,-1.468333333
3,4,Vivica A. Fox,5.821666666666666,6.721666666666667,5.94,6.12,-0.9,-0.781666667
3,4,Willa Ford,3.855,5.273333333333333,5.3966666666666665,5.255,-1.418333333,0.12333333333333307
3,5,Emmitt Smith,3.296666666666667,4.335,4.741666666666666,2.804,-1.038333333,0.4066666666666663
3,5,Jerry Springer,4.571666666666666,4.133333333333334,4.01,6.173,0.4383333333333326,-0.123333333
3,5,Joey Lawrence,2.605,3.223333333333333,2.02,3.664,-0.618333333,-1.203333333
3,5,Mario Lopez,3.03,2.65,4.55,2.489,0.3799999999999999,1.9
3,5,Monique Coleman,3.9583333333333335,3.3333333333333335,3.4816666666666665,4.235,0.625,0.14833333333333298
3,5,Sara Evans,5.305,4.6466666666666665,3.755,2.159,0.6583333333333332,-0.891666667
3,5,Willa Ford,5.233333333333333,5.678333333333334,5.441666666666666,6.476,-0.445,-0.236666667
3,7,Emmitt Smith,3.075,4.006666666666667,3.6066666666666665,3.498,-0.931666667,-0.4
3,7,Jerry Springer,4.701666666666667,3.8033333333333332,4.593333333333334,4.031,0.8983333333333339,0.7900000000000005
3,7,Joey Lawrence,1.6366666666666667,1.7733333333333334,2.01,2.458,-0.136666667,0.23666666666666636
3,7,Mario Lopez,1.3716666666666666,1.9433333333333334,2.6433333333333335,2.013,-0.571666667,0.7000000000000002
3,7,Monique Coleman,4.215,3.473333333333333,2.1466666666666665,3,0.7416666666666667,-1.326666667
3,8,Emmitt Smith,2.565,1.7216666666666667,2.4716666666666667,1.914,0.8433333333333333,0.75
3,8,Joey Lawrence,2.4816666666666665,2.275,1.515,2.273,0.20666666666666655,-0.76
3,8,Mario Lopez,2.135,2.5383333333333336,2.645,2.359,-0.403333333,0.10666666666666647
3,8,Monique Coleman,2.8183333333333334,3.465,3.368333333333333,3.454,-0.646666667,-0.096666667
4,2,Apolo Anton Ohno,3.1216666666666666,3.7416666666666667,4.855,8.425,-0.62,1.1133333333333337
4,2,Billy Ray Cyrus,4.98,6.783333333333333,7.243333333333333,8.096,-1.803333333,0.45999999999999996
4,2,Clyde Drexler,10.896666666666667,10.896666666666667,9.076666666666666,9.195,0,-1.82
4,2,Heather Mills,2.7983333333333333,3.97,3.6616666666666666,3.538,-1.171666667,-0.308333333
4,2,Ian Ziering,6.915,3.8966666666666665,6.258333333333334,5.415,3.0183333333333335,2.3616666666666672
4,2,Joey Fatone,5.668333333333333,3.5016666666666665,2.775,2.333,2.1666666666666665,-0.726666667
4,2,John Ratzenberger,7.395,7.296666666666667,9.106666666666667,4.667,0.09833333333333272,1.8100000000000005
4,2,Laila Ali,3.651666666666667,4.508333333333334,3.3466666666666667,4.475,-0.856666667,-1.161666667
4,2,Leeza Gibbons,6.91,7.625,6.553333333333334,5.206,-0.715,-1.071666667
4,2,Paulina Porizkova,4.6883333333333335,4.305,3.9883333333333333,5.165,0.38333333333333375,-0.316666667
4,2,Shandi Finnessey,8.975,9.475,9.135,9.485,-0.5,-0.34
4,3,Apolo Anton Ohno,4.523333333333333,3.9916666666666667,5.425,6.617,0.5316666666666667,1.4333333333333331
4,3,Billy Ray Cyrus,7.04,7.796666666666667,8.243333333333334,9.752,-0.756666667,0.4466666666666672
4,3,Clyde Drexler,9.848333333333333,9.115,6.705,7.402,0.7333333333333325,-2.41
4,3,Heather Mills,5.496666666666667,7.443333333333333,6.543333333333333,3.471,-1.946666667,-0.9
4,3,Ian Ziering,2.5233333333333334,2.4166666666666665,1.6133333333333333,1.106,0.10666666666666691,-0.803333333
4,3,Joey Fatone,3.8866666666666667,4.613333333333333,5.493333333333333,7.183,-0.726666667,0.8799999999999999
4,3,John Ratzenberger,5.91,5.528333333333333,3.9883333333333333,5.908,0.3816666666666668,-1.54
4,3,Laila Ali,8.35,5.9366666666666665,8.493333333333334,5.981,2.413333333333333,2.5566666666666675
4,3,Leeza Gibbons,2.905,2.7883333333333336,4.006666666666667,2.539,0.11666666666666625,1.2183333333333333
4,3,Shandi Finnessey,4.516666666666667,5.37,4.488333333333333,5.041,-0.853333333,-0.881666667
4,4,Apolo Anton Ohno,3.4283333333333332,3.013333333333333,5.265,6.403,0.41500000000000004,2.2516666666666665
4,4,Billy Ray Cyrus,5.77,5.548333333333333,3.9116666666666666,5.013,0.22166666666666668,-1.636666667
4,4,Clyde Drexler,8.493333333333334,8.125,8.446666666666667,6.629,0.36833333333333407,0.3216666666666672
4,4,Heather Mills,3.2333333333333334,3.225,3.15,3.43,0.008333333333333304,-0.075
4,4,Ian Ziering,2.7016666666666667,3.296666666666667,4.441666666666666,4.609,-0.595,1.1449999999999996
4,4,Joey Fatone,1.1,1.2466666666666666,1.605,3.356,-0.146666667,0.3583333333333334
4,4,John Ratzenberger,7.716666666666667,7.88,7.788333333333333,5.864,-0.163333333,-0.091666667
4,4,Laila Ali,4.773333333333333,4.6883333333333335,3.7816666666666667,5.288,0.08499999999999996,-0.906666667
4,4,Leeza Gibbons,7.783333333333333,7.976666666666667,6.61,4.408,-0.193333333,-1.366666667
4,5,Apolo Anton Ohno,1.1283333333333334,1.615,1.6383333333333334,2.59,-0.486666667,0.023333333333333428
4,5,Billy Ray Cyrus,7.1466666666666665,7.373333333333333,4.905,4.5,-0.226666667,-2.468333333
4,5,Clyde Drexler,7.845,7.475,7.376666666666667,6.178,0.3700000000000001,-0.098333333
4,5,Heather Mills,4.568333333333333,5.31,4.211666666666667,5.998,-0.741666667,-1.098333333
4,5,Ian Ziering,4.168333333333333,3.7583333333333333,5.5616666666666665,6.733,0.4099999999999997,1.8033333333333332
4,5,Joey Fatone,3.705,3.8766666666666665,4.52,3.906,-0.171666667,0.6433333333333331
4,5,John Ratzenberger,5.516666666666667,5.005,5.8933333333333335,3.846,0.5116666666666667,0.8883333333333336
4,5,Laila Ali,1.9216666666666666,1.5866666666666667,1.8933333333333333,2.249,0.33499999999999996,0.30666666666666664
4,6,Apolo Anton Ohno,1.9366666666666668,2.26,1.1733333333333333,2.069,-0.323333333,-1.086666667
4,6,Billy Ray Cyrus,5.906666666666666,5.405,4.221666666666667,2.461,0.501666666666666,-1.183333333
4,6,Heather Mills,3.84,3.7583333333333333,2.945,3.145,0.08166666666666655,-0.813333333
4,6,Ian Ziering,5.671666666666667,6.21,6.325,5.263,-0.538333333,0.11500000000000021
4,6,Joey Fatone,2.1533333333333333,2.0533333333333332,4.226666666666667,4.701,0.10000000000000009,2.1733333333333333
4,6,John Ratzenberger,6.373333333333333,5.8966666666666665,4.735,5.821,0.47666666666666657,-1.161666667
4,6,Laila Ali,2.118333333333333,2.4166666666666665,4.373333333333333,4.54,-0.298333333,1.9566666666666666
4,7,Apolo Anton Ohno,4.001666666666667,3.1933333333333334,3.4033333333333333,2.651,0.8083333333333336,0.20999999999999996
4,7,Billy Ray Cyrus,4.4783333333333335,5.283333333333333,3.81,4.861,-0.805,-1.473333333
4,7,Ian Ziering,3.93,3.9816666666666665,3.723333333333333,3.647,-0.051666667,-0.258333333
4,7,Joey Fatone,1.43,1.3133333333333332,1.735,2.958,0.1166666666666667,0.42166666666666686
4,7,John Ratzenberger,5.11,4.545,5.476666666666667,4.361,0.5650000000000004,0.9316666666666666
4,7,Laila Ali,2.05,2.683333333333333,2.8516666666666666,2.522,-0.633333333,0.16833333333333345
4,8,Apolo Anton Ohno,2.5533333333333332,3.605,1.7683333333333333,1.517,-1.051666667,-1.836666667
4,8,Billy Ray Cyrus,4.973333333333334,4.291666666666667,4.09,4.271,0.6816666666666666,-0.201666667
4,8,Ian Ziering,3.433333333333333,4.003333333333333,3.328333333333333,3.266,-0.57,-0.675
4,8,Joey Fatone,1.45,1.325,2.1,2.08,0.125,0.7750000000000001
4,8,Laila Ali,2.59,1.775,3.7133333333333334,3.866,0.815,1.9383333333333335
4,9,Apolo Anton Ohno,2.8583333333333334,2.533333333333333,2.0216666666666665,1.932,0.3250000000000002,-0.511666667
4,9,Ian Ziering,3.66,3.158333333333333,3.19,3.529,0.5016666666666669,0.03166666666666673
4,9,Joey Fatone,1.995,2.4466666666666668,3.2983333333333333,3.215,-0.451666667,0.8516666666666666
4,9,Laila Ali,1.4866666666666666,1.8616666666666666,1.49,1.324,-0.375,-0.371666667
5,1,Albert Reed,8.195,8.838333333333333,5.966666666666667,6.016,-0.643333333,-2.871666667
5,1,Cameron Mathison,5.64,5.301666666666667,5.321666666666666,7.834,0.33833333333333293,0.019999999999999574
5,1,Floyd Mayweather Jr. ,10.765,10.993333333333334,9.741666666666667,7.659,-0.228333333,-1.251666667
5,1,Helio Castroneves,2.0216666666666665,2.756666666666667,4.0216666666666665,2.354,-0.735,1.2649999999999997
5,1,Jane Seymour,3.533333333333333,5.315,5.33,5.98,-1.781666667,0.01499999999999968
5,1,Jennie Garth,4.993333333333333,3.8516666666666666,6.263333333333334,6.345,1.1416666666666666,2.411666666666667
5,1,Josie Maran,9.755,7.766666666666667,5.918333333333333,4.337,1.9883333333333342,-1.848333333
5,1,Marie Osmond,7.761666666666667,8.375,9.751666666666667,7.143,-0.613333333,1.376666666666667
5,1,Mark Cuban,6.975,4.56,4.611666666666666,6.643,2.415,0.05166666666666675
5,1,Mel B,5.831666666666667,10.333333333333334,11.551666666666666,11.573,-4.501666667,1.218333333333332
5,1,Sabrina Bryan,3.158333333333333,2.8633333333333333,4.873333333333333,4.647,0.29499999999999993,2.01
5,1,Wayne Newton,9.37,7.045,4.648333333333333,7.469,2.3249999999999993,-2.396666667
5,2,Albert Reed,5.455,6.453333333333333,5.96,7.472,-0.998333333,-0.493333333
5,2,Cameron Mathison,5.786666666666667,5.581666666666667,5.026666666666666,6.141,0.20500000000000007,-0.555
5,2,Floyd Mayweather Jr. ,6.91,5.766666666666667,6.835,8.42,1.1433333333333335,1.0683333333333334
5,2,Helio Castroneves,2.515,4.8933333333333335,4.77,6.525,-2.378333333,-0.123333333
5,2,Jane Seymour,7.32,4.583333333333333,5.6,5.14,2.7366666666666672,1.0166666666666666
5,2,Jennie Garth,6.545,8.451666666666666,6.783333333333333,4.448,-1.906666667,-1.668333333
5,2,Marie Osmond,4.86,3.955,5.745,4.306,0.9050000000000002,1.79
5,2,Mark Cuban,9.731666666666667,9.628333333333334,8.746666666666666,7.126,0.1033333333333335,-0.881666667
5,2,Mel B,4.608333333333333,4.3966666666666665,2.6683333333333334,2.035,0.2116666666666669,-1.728333333
5,2,Sabrina Bryan,1.2683333333333333,1.7666666666666666,3.2066666666666666,4.579,-0.498333333,1.44
5,2,Wayne Newton,11,10.523333333333333,10.658333333333333,9.808,0.47666666666666657,0.1349999999999998
5,3,Cameron Mathison,5.19,4.346666666666667,5.163333333333333,1.776,0.8433333333333337,0.8166666666666664
5,3,Floyd Mayweather Jr. ,8.615,8.611666666666666,5.153333333333333,6.33,0.0033333333333338544,-3.458333333
5,3,Helio Castroneves,6.64,6.861666666666666,7.226666666666667,7.525,-0.221666667,0.3650000000000002
5,3,Jane Seymour,1.0766666666666667,2.2266666666666666,1.9033333333333333,3.037,-1.15,-0.323333333
5,3,Jennie Garth,4.85,2.9266666666666667,2.985,4.335,1.923333333333333,0.058333333333333126
5,3,Marie Osmond,4.196666666666666,4.78,8.153333333333334,5.922,-0.583333333,3.373333333333334
5,3,Mark Cuban,8.356666666666667,7.556666666666667,7.28,9.034,0.8000000000000007,-0.276666667
5,3,Mel B,3.005,3.941666666666667,4.2683333333333335,5.427,-0.936666667,0.32666666666666666
5,3,Sabrina Bryan,3.07,3.8333333333333335,3.2516666666666665,2.28,-0.763333333,-0.581666667
5,3,Wayne Newton,10,9.915,9.615,9.334,0.08500000000000085,-0.3
5,4,Cameron Mathison,3.035,5.89,5.895,5.094,-2.855,0.004999999999999893
5,4,Floyd Mayweather Jr. ,6.568333333333333,4.725,3.736666666666667,3.521,1.8433333333333337,-0.988333333
5,4,Helio Castroneves,5.61,4.545,3.7533333333333334,1.717,1.0650000000000004,-0.791666667
5,4,Jane Seymour,4.483333333333333,4.113333333333333,3.3916666666666666,3.089,0.3700000000000001,-0.721666667
5,4,Jennie Garth,4.765,3.465,5.39,6.664,1.2999999999999998,1.9249999999999998
5,4,Marie Osmond,3.868333333333333,4.576666666666667,4.941666666666666,5.624,-0.708333333,0.3649999999999993
5,4,Mark Cuban,8.968333333333334,8.906666666666666,7.745,6.547,0.061666666666667425,-1.161666667
5,4,Mel B,4.608333333333333,4.958333333333333,4.911666666666667,5.066,-0.35,-0.046666667
5,4,Sabrina Bryan,3.0933333333333333,3.82,5.235,7.678,-0.726666667,1.4150000000000005
5,5,Cameron Mathison,4.828333333333333,3.4,4.818333333333333,6.874,1.4283333333333332,1.4183333333333334
5,5,Helio Castroneves,5.4783333333333335,4.935,4.145,3.992,0.5433333333333339,-0.79
5,5,Jane Seymour,3.675,4.085,3.9466666666666668,3.64,-0.41,-0.138333333
5,5,Jennie Garth,4.266666666666667,3.855,6.081666666666667,5.152,0.4116666666666666,2.226666666666667
5,5,Marie Osmond,7.368333333333333,7.623333333333333,5.5633333333333335,4.307,-0.255,-2.06
5,5,Mark Cuban,5.881666666666667,7.236666666666666,6.461666666666667,5.452,-1.355,-0.775
5,5,Mel B,1.4216666666666666,1.605,1.8733333333333333,2.21,-0.183333333,0.2683333333333333
5,5,Sabrina Bryan,3.08,3.26,3.11,4.373,-0.18,-0.15
5,6,Cameron Mathison,3.526666666666667,3.105,3.8183333333333334,2.506,0.42166666666666686,0.7133333333333334
5,6,Helio Castroneves,3.3066666666666666,3.165,3.973333333333333,3.801,0.1416666666666666,0.8083333333333331
5,6,Jane Seymour,6.361666666666666,5.791666666666667,2.776666666666667,5.574,0.5699999999999994,-3.015
5,6,Jennie Garth,3.14,3.1333333333333333,3.4783333333333335,2.501,0.006666666666666821,0.3450000000000002
5,6,Marie Osmond,5.17,5.743333333333333,6.168333333333333,6.16,-0.573333333,0.4249999999999998
5,6,Mel B,1,1.14,2.066666666666667,3.012,-0.14,0.926666666666667
5,6,Sabrina Bryan,5.495,5.921666666666667,5.718333333333334,4.446,-0.426666667,-0.203333333
5,7,Cameron Mathison,3.3633333333333333,3.1933333333333334,1.3133333333333332,1.794,0.16999999999999993,-1.88
5,7,Helio Castroneves,3.341666666666667,2.7333333333333334,2.8833333333333333,3.001,0.6083333333333334,0.1499999999999999
5,7,Jane Seymour,3.9616666666666664,4,5.008333333333334,4.037,-0.038333333,1.0083333333333337
5,7,Jennie Garth,4.355,4.006666666666667,3.6983333333333333,5.086,0.3483333333333336,-0.308333333
5,7,Marie Osmond,3.5933333333333333,4.558333333333334,4.431666666666667,3.399,-0.965,-0.126666667
5,7,Mel B,2.385,2.5083333333333333,3.665,3.683,-0.123333333,1.1566666666666667
5,8,Cameron Mathison,4.208333333333333,4.453333333333333,3.2783333333333333,2.972,-0.245,-1.175
5,8,Helio Castroneves,2.27,2.33,2.8666666666666667,3.267,-0.06,0.5366666666666666
5,8,Jennie Garth,2.256666666666667,2.935,3.368333333333333,3.118,-0.678333333,0.4333333333333331
5,8,Marie Osmond,4.56,4.148333333333333,4.48,4.643,0.4116666666666662,0.331666666666667
5,8,Mel B,1.705,1.1333333333333333,1.0066666666666666,1,0.5716666666666668,-0.126666667
5,9,Helio Castroneves,1.5233333333333334,2.0033333333333334,1.3983333333333334,2.392,-0.48,-0.605
5,9,Jennie Garth,3.48,3.7933333333333334,3.993333333333333,2.656,-0.313333333,0.19999999999999973
5,9,Marie Osmond,3.19,2.341666666666667,2.5533333333333332,2.809,0.8483333333333332,0.21166666666666645
5,9,Mel B,1.8066666666666666,1.8616666666666666,2.055,2.143,-0.055,0.19333333333333358
6,3,Adam Carolla,6.995,4.795,4.333333333333333,4.863,2.2,-0.461666667
6,3,Cristian de la Fuente,3.3066666666666666,2.1633333333333336,4.2716666666666665,3.22,1.143333333333333,2.108333333333333
6,3,Jason Taylor,3.6483333333333334,3.215,3.23,7.009,0.43333333333333357,0.015000000000000124
6,3,Kristi Yamaguchi,3.6266666666666665,3.7416666666666667,4.5183333333333335,3.758,-0.115,0.7766666666666668
6,3,Mario,5.801666666666667,5.931666666666667,3.6433333333333335,6.719,-0.13,-2.288333333
6,3,Marissa Jaret Winokur,8.14,7.78,8.165,7.297,0.3600000000000003,0.3849999999999989
6,3,Marlee Matlin,8.49,8.133333333333333,8.771666666666667,8.639,0.35666666666666735,0.6383333333333336
6,3,Priscilla Presley,2.3916666666666666,5.035,4.63,3.12,-2.643333333,-0.405
6,3,Shannon Elizabeth,4.068333333333333,5.395,6.2683333333333335,2.893,-1.326666667,0.873333333333334
6,3,Steve Guttenberg,8.531666666666666,8.81,7.168333333333333,7.482,-0.278333333,-1.641666667
6,4,Adam Carolla,7.531666666666666,8.375,6.26,7.371,-0.843333333,-2.115
6,4,Cristian de la Fuente,3.585,4.825,3.7516666666666665,6.176,-1.24,-1.073333333
6,4,Jason Taylor,1.8083333333333333,1.925,2.1216666666666666,3.466,-0.116666667,0.19666666666666655
6,4,Kristi Yamaguchi,1.5166666666666666,1.8733333333333333,1.835,2.255,-0.356666667,-0.038333333
6,4,Mario,6.95,6.793333333333333,6.863333333333333,4.775,0.15666666666666718,0.07000000000000028
6,4,Marissa Jaret Winokur,6.638333333333334,6.288333333333333,6.165,7.028,0.35000000000000053,-0.123333333
