Celebrity,Celebrity_HomeState,Celebrity_HomeCountry,Celebrity_Region,Celebrity_Population,Population_Scope,Population_Source,Ballroom_Partner,Partner_Twitter,Partner_Followers,Followers_Source
Carlos PenaVega,Missouri,United States,Missouri,6196156,US_State,Census 2023 PEP - Missouri,Witney Carson,WitneyCarson,520000,Twitter
Carole Baskin,Texas,United States,Texas,30503301,US_State,Census 2023 PEP - Texas,Pasha Pashkov,PashaPashkov,120000,Twitter
Carson Kressley,Pennsylvania,United States,Pennsylvania,12961683,US_State,Census 2023 PEP - Pennsylvania,Anna Trebunskaya,AnnaTrebunskaya,50000,Twitter
Chad Ochocinco,Florida,United States,Florida,22610726,US_State,Census 2023 PEP - Florida,Cheryl Burke,CherylBurke,450000,Twitter
Chaka Khan,Illinois,United States,Illinois,12549689,US_State,Census 2023 PEP - Illinois,Keo Motsepe,keo_motsepe,95000,Twitter
Chandler Kinney,California,United States,California,38965193,US_State,Census 2023 PEP - California,Brandon Armstrong,Brandon_DWTS,85000,Twitter
Charity Lawson,Georgia,United States,Georgia,11029227,US_State,Census 2023 PEP - Georgia,Artem Chigvintsev,artemchig,280000,Twitter
Charles Oakley,Ohio,United States,Ohio,11785935,US_State,Census 2023 PEP - Ohio,Emma Slater,EmmaSlaterDance,350000,Twitter
Charli D'Amelio,Connecticut,United States,Connecticut,3617176,US_State,Census 2023 PEP - Connecticut,Mark Ballas,MarkBallas,650000,Twitter
Charlie White,Michigan,United States,Michigan,10037261,US_State,Census 2023 PEP - Michigan,Sharna Burgess,SharnaBurgess,480000,Twitter
Charlotte McKinney,Florida,United States,Florida,22610726,US_State,Census 2023 PEP - Florida,Keo Motsepe,keo_motsepe,95000,Twitter
Charo,,Spain,Murcia,462979,Spain_Region,"Murcia municipality population, INE Spain 2023",Keo Motsepe,keo_motsepe,95000,Twitter
Chaz Bono,California,United States,California,38965193,US_State,Census 2023 PEP - California,Lacey Schwimmer,LaceySchwimmer,85000,Twitter
Chelsea Kane,Arizona,United States,Arizona,7431344,US_State,Census 2023 PEP - Arizona,Mark Ballas,MarkBallas,650000,Twitter
Cheryl Ladd,South Dakota,United States,South Dakota,919318,US_State,Census 2023 PEP - South Dakota,Louis van Amstel,LouisVanAmstel,35000,Twitter
Chris Jericho,New York,United States,New York,19571216,US_State,Census 2023 PEP - New York,Cheryl Burke,CherylBurke,450000,Twitter
Chris Kattan,California,United States,California,38965193,US_State,Census 2023 PEP - California,Witney Carson,WitneyCarson,520000,Twitter
Chris Mazdzer,Massachusetts,United States,Massachusetts,7001399,US_State,Census 2023 PEP - Massachusetts,Witney Carson,WitneyCarson,520000,Twitter
Chris Soules,Iowa,United States,Iowa,3207004,US_State,Census 2023 PEP - Iowa,Witney Carson,WitneyCarson,520000,Twitter
Chrishell Stause,Kentucky,United States,Kentucky,4526154,US_State,Census 2023 PEP - Kentucky,Gleb Savchenko,GlebSavchenkoTV,320000,Twitter
Christina Milian,New Jersey,United States,New Jersey,9290841,US_State,Census 2023 PEP - New Jersey,Mark Ballas,MarkBallas,650000,Twitter
Christine Chiu,,Taiwan China,Taipei,2492384,Taiwan_Region,"Taipei city population, DGBAS 2023",Pasha Pashkov,PashaPashkov,120000,Twitter
Chuck Liddell,California,United States,California,38965193,US_State,Census 2023 PEP - California,Anna Trebunskaya,AnnaTrebunskaya,50000,Twitter
Chuck Wicks,Delaware,United States,Delaware,1031890,US_State,Census 2023 PEP - Delaware,Julianne Hough,juaborshough,2500000,Twitter
Chynna Phillips,California,United States,California,38965193,US_State,Census 2023 PEP - California,Tony Dovolani,TonyDovolani,180000,Twitter
Cloris Leachman,Iowa,United States,Iowa,3207004,US_State,Census 2023 PEP - Iowa,Corky Ballas,,10000,Instagram estimate
Clyde Drexler,Louisiana,United States,Louisiana,4573749,US_State,Census 2023 PEP - Louisiana,Elena Grinenko,,8000,Instagram estimate
Cody Linley,Texas,United States,Texas,30503301,US_State,Census 2023 PEP - Texas,Julianne Hough,juaborshough,2500000,Twitter
Cody Rigsby,California,United States,California,38965193,US_State,Census 2023 PEP - California,Cheryl Burke,CherylBurke,450000,Twitter
Cody Simpson,,Australia,"Gold Coast, Queensland",606774,Australia_Region,"Gold Coast city population, ABS 2023",Witney Carson,WitneyCarson,520000,Twitter
Corbin Bleu,New York,United States,New York,19571216,US_State,Census 2023 PEP - New York,Karina Smirnoff,KasrinaSmirnoff,210000,Twitter
Corey Feldman,California,United States,California,38965193,US_State,Census 2023 PEP - California,Jenna Johnson,jennajohnson,680000,Twitter
Cristian de la Fuente,,Chile,Santiago,5614000,Chile_Region,"Santiago metropolitan population, INE Chile 2023",Cheryl Burke,CherylBurke,450000,Twitter
D. L. Hughley,Virginia,United States,Virginia,8683619,US_State,Census 2023 PEP - Virginia,Cheryl Burke,CherylBurke,450000,Twitter
Danelle Umstead,New Mexico,United States,New Mexico,2114371,US_State,Census 2023 PEP - New Mexico,Artem Chigvintsev,artemchig,280000,Twitter
Danica McKellar,California,United States,California,38965193,US_State,Census 2023 PEP - California,Valentin Chmerkovskiy,ValChmerkoskiy,850000,Twitter
Daniel Durant,Michigan,United States,Michigan,10037261,US_State,Census 2023 PEP - Michigan,Britt Stewart,BrittStewart,45000,Twitter
Danielle Fishel,California,United States,California,38965193,US_State,Census 2023 PEP - California,Pasha Pashkov,PashaPashkov,120000,Twitter
Danny Amendola,Texas,United States,Texas,30503301,US_State,Census 2023 PEP - Texas,Witney Carson,WitneyCarson,520000,Twitter
David Alan Grier,Michigan,United States,Michigan,10037261,US_State,Census 2023 PEP - Michigan,Kym Johnson,KymHerjavec,280000,Twitter
David Arquette,Virginia,United States,Virginia,8683619,US_State,Census 2023 PEP - Virginia,Kym Johnson,KymHerjavec,280000,Twitter
David Hasselhoff,Maryland,United States,Maryland,6180253,US_State,Census 2023 PEP - Maryland,Kym Johnson,KymHerjavec,280000,Twitter
David Ross,Georgia,United States,Georgia,11029227,US_State,Census 2023 PEP - Georgia,Lindsay Arnold,lindsayarnold,380000,Twitter
DeMarcus Ware,Alabama,United States,Alabama,5108468,US_State,Census 2023 PEP - Alabama,Lindsay Arnold,lindsayarnold,380000,Twitter
Debbie Gibson,New York,United States,New York,19571216,US_State,Census 2023 PEP - New York,Alan Bersten,Dance10Alan,220000,Twitter
Debi Mazar,New York,United States,New York,19571216,US_State,Census 2023 PEP - New York,Maksim Chmerkoskiy,MaksimC,520000,Twitter
Denise Richards,Illinois,United States,Illinois,12549689,US_State,Census 2023 PEP - Illinois,Maksim Chmerkoskiy,MaksimC,520000,Twitter
Derek Fisher,Arkansas,United States,Arkansas,3067732,US_State,Census 2023 PEP - Arkansas,Sharna Burgess,SharnaBurgess,480000,Twitter
Diana Nyad,New York,United States,New York,19571216,US_State,Census 2023 PEP - New York,Henry Byalikov,,5000,estimate
Donald Driver,Texas,United States,Texas,30503301,US_State,Census 2023 PEP - Texas,Peta Murgatroyd,PetaMurgatroyd,620000,Twitter
Donny Osmond,Utah,United States,Utah,3417734,US_State,Census 2023 PEP - Utah,Kym Johnson,KymHerjavec,280000,Twitter
Dorothy Hamill,Illinois,United States,Illinois,12549689,US_State,Census 2023 PEP - Illinois,Tristan MacManus,TristanMacManus,75000,Twitter
Doug Flutie,Maryland,United States,Maryland,6180253,US_State,Census 2023 PEP - Maryland,Karina Smirnoff,KasrinaSmirnoff,210000,Twitter
Drew Carey,Ohio,United States,Ohio,11785935,US_State,Census 2023 PEP - Ohio,Cheryl Burke,CherylBurke,450000,Twitter
Drew Lachey,Ohio,United States,Ohio,11785935,US_State,Census 2023 PEP - Ohio,Anna Trebunskaya,AnnaTrebunskaya,50000,Twitter
Drew Scott,,Canada,"Vancouver, British Columbia",675218,Canada_Region,"Vancouver city population, Statistics Canada 2023",Emma Slater,EmmaSlaterDance,350000,Twitter
Dwight Howard ,Georgia,United States,Georgia,11029227,US_State,Census 2023 PEP - Georgia,Daniella Karagach,DaniellaKaragach,280000,Twitter
Dylan Efron,California,United States,California,38965193,US_State,Census 2023 PEP - California,Daniella Karagach,DaniellaKaragach,280000,Twitter
Elaine Hendrix,Georgia,United States,Georgia,11029227,US_State,Census 2023 PEP - Georgia,Alan Bersten,Dance10Alan,220000,Twitter
Elisabetta Canalis,,Italy,"Sassari, Sardinia",126769,Italy_Region,"Sassari city population, ISTAT 2023",Valentin Chmerkovskiy,ValChmerkoskiy,850000,Twitter
Elizabeth Berkley Lauren,Michigan,United States,Michigan,10037261,US_State,Census 2023 PEP - Michigan,Valentin Chmerkovskiy,ValChmerkoskiy,850000,Twitter
Emmitt Smith,Florida,United States,Florida,22610726,US_State,Census 2023 PEP - Florida,Cheryl Burke,CherylBurke,450000,Twitter
Eric Roberts,California,United States,California,38965193,US_State,Census 2023 PEP - California,Britt Stewart,BrittStewart,45000,Twitter
Erika Jayne,Georgia,United States,Georgia,11029227,US_State,Census 2023 PEP - Georgia,Gleb Savchenko,GlebSavchenkoTV,320000,Twitter
Erin Andrews,Maine,United States,Maine,1395722,US_State,Census 2023 PEP - Maine,Maksim Chmerkoskiy,MaksimC,520000,Twitter
Evan Lysacek,Illinois,United States,Illinois,12549689,US_State,Census 2023 PEP - Illinois,Anna Trebunskaya,AnnaTrebunskaya,50000,Twitter
Evander Holyfield,Alabama,United States,Alabama,5108468,US_State,Census 2023 PEP - Alabama,Edyta Sliwinska,EdytaSliwinska,45000,Twitter
Evanna Lynch,,Ireland,"Termonfeckin, County Louth",139703,Ireland_Region,"County Louth population, CSO Ireland 2022",Keo Motsepe,keo_motsepe,95000,Twitter
Florence Henderson,Indiana,United States,Indiana,6862199,US_State,Census 2023 PEP - Indiana,Corky Ballas,,10000,Instagram estimate
Floyd Mayweather Jr. ,Michigan,United States,Michigan,10037261,US_State,Census 2023 PEP - Michigan,Karina Smirnoff,KasrinaSmirnoff,210000,Twitter
Frankie Muniz,New Jersey,United States,New Jersey,9290841,US_State,Census 2023 PEP - New Jersey,Witney Carson,WitneyCarson,520000,Twitter
Gabby Windey,Illinois,United States,Illinois,12549689,US_State,Census 2023 PEP - Illinois,Valentin Chmerkovskiy,ValChmerkoskiy,850000,Twitter
Gary Busey,Texas,United States,Texas,30503301,US_State,Census 2023 PEP - Texas,Anna Trebunskaya,AnnaTrebunskaya,50000,Twitter
Gavin DeGraw,New York,United States,New York,19571216,US_State,Census 2023 PEP - New York,Karina Smirnoff,KasrinaSmirnoff,210000,Twitter
George Hamilton,Tennessee,United States,Tennessee,7126489,US_State,Census 2023 PEP - Tennessee,Edyta Sliwinska,EdytaSliwinska,45000,Twitter
Geraldo Rivera,New York,United States,New York,19571216,US_State,Census 2023 PEP - New York,Edyta Sliwinska,EdytaSliwinska,45000,Twitter
Gilles Marini,,France,Grasse,51580,France_Region,"Grasse commune population, INSEE 2021",Cheryl Burke,CherylBurke,450000,Twitter
Ginger Zee,California,United States,California,38965193,US_State,Census 2023 PEP - California,Valentin Chmerkovskiy,ValChmerkoskiy,850000,Twitter
Giselle Fernandez,,Mexico,Mexico City,9209944,Mexico_Region,"Mexico City population, INEGI 2020",Jonathan Roberts,,8000,Instagram estimate
Gladys Knight,Georgia,United States,Georgia,11029227,US_State,Census 2023 PEP - Georgia,Tristan MacManus,TristanMacManus,75000,Twitter
Hannah Brown,Alabama,United States,Alabama,5108468,US_State,Census 2023 PEP - Alabama,Alan Bersten,Dance10Alan,220000,Twitter
Harry Hamlin,California,United States,California,38965193,US_State,Census 2023 PEP - California,Ashly DelGrosso,,5000,Instagram estimate
Harry Jowsey,,Australia,"Brisbane, Queensland",2514184,Australia_Region,"Brisbane city population, ABS 2023",Rylee Arnold,ryleearnold,120000,Twitter
Hayes Grier,North Carolina,United States,North Carolina,10835491,US_State,Census 2023 PEP - North Carolina,Emma Slater,EmmaSlaterDance,350000,Twitter
Heather Mills,,England,"Aldershot, Hampshire",1400000,England_Region,"Hampshire county population, ONS 2023",Jonathan Roberts,,8000,Instagram estimate
Heather Morris,California,United States,California,38965193,US_State,Census 2023 PEP - California,Maksim Chmerkoskiy,MaksimC,520000,Twitter
Heidi D'Amelio,Louisiana,United States,Louisiana,4573749,US_State,Census 2023 PEP - Louisiana,Artem Chigvintsev,artemchig,280000,Twitter
Helio Castroneves,,Brazil,São Paulo,12325232,Brazil_Region,"São Paulo city population, IBGE 2023",Chelsie Hightower,ChelsiHightower,95000,Twitter
Hilaria Baldwin,New York,United States,New York,19571216,US_State,Census 2023 PEP - New York,Gleb Savchenko,GlebSavchenkoTV,320000,Twitter
Hines Ward,,South Korea,Seoul,9428372,South Korea_Region,"Seoul metropolitan population, KOSIS 2023",Kym Johnson,KymHerjavec,280000,Twitter
Holly Madison,Oregon,United States,Oregon,4233358,US_State,Census 2023 PEP - Oregon,Dmitry Chaplin,DmitryChaplin,25000,Twitter
Hope Solo,Washington,United States,Washington,7812880,US_State,Census 2023 PEP - Washington,Maksim Chmerkoskiy,MaksimC,520000,Twitter
Ian Ziering,New Jersey,United States,New Jersey,9290841,US_State,Census 2023 PEP - New Jersey,Cheryl Burke,CherylBurke,450000,Twitter
Ilona Maher,California,United States,California,38965193,US_State,Census 2023 PEP - California,Alan Bersten,Dance10Alan,220000,Twitter
Iman Shumpert,Illinois,United States,Illinois,12549689,US_State,Census 2023 PEP - Illinois,Daniella Karagach,DaniellaKaragach,280000,Twitter
Ingo Rademacher,,Germany,Iserlohn,91815,Germany_Region,"Iserlohn city population, Destatis 2022",Kym Johnson,KymHerjavec,280000,Twitter
J.R. Martinez,Louisiana,United States,Louisiana,4573749,US_State,Census 2023 PEP - Louisiana,Karina Smirnoff,KasrinaSmirnoff,210000,Twitter
Jack Osbourne,,England,"St John's Wood, London",8799800,England_Region,"Greater London population, ONS 2023",Cheryl Burke,CherylBurke,450000,Twitter
Jack Wagner,Missouri,United States,Missouri,6196156,US_State,Census 2023 PEP - Missouri,Anna Trebunskaya,AnnaTrebunskaya,50000,Twitter
Jacoby Jones,Louisiana,United States,Louisiana,4573749,US_State,Census 2023 PEP - Louisiana,Karina Smirnoff,KasrinaSmirnoff,210000,Twitter
Jake Pavelka,Texas,United States,Texas,30503301,US_State,Census 2023 PEP - Texas,Chelsie Hightower,ChelsiHightower,95000,Twitter
Jake T. Austin,New York,United States,New York,19571216,US_State,Census 2023 PEP - New York,Jenna Johnson,jennajohnson,680000,Twitter
Jaleel White,California,United States,California,38965193,US_State,Census 2023 PEP - California,Kym Johnson,KymHerjavec,280000,Twitter
James Hinchcliffe,,Canada,"Oakville, Ontario",213759,Canada_Region,"Oakville town population, Statistics Canada 2023",Sharna Burgess,SharnaBurgess,480000,Twitter
James Maslow,New York,United States,New York,19571216,US_State,Census 2023 PEP - New York,Peta Murgatroyd,PetaMurgatroyd,620000,Twitter
James Van Der Beek,Connecticut,United States,Connecticut,3617176,US_State,Census 2023 PEP - Connecticut,Emma Slater,EmmaSlaterDance,350000,Twitter
Jamie Anderson,California,United States,California,38965193,US_State,Census 2023 PEP - California,Artem Chigvintsev,artemchig,280000,Twitter
Jamie Lynn Spears,Mississippi,United States,Mississippi,2939690,US_State,Census 2023 PEP - Mississippi,Alan Bersten,Dance10Alan,220000,Twitter
Jana Kramer,Michigan,United States,Michigan,10037261,US_State,Census 2023 PEP - Michigan,Gleb Savchenko,GlebSavchenkoTV,320000,Twitter
Jane Seymour,,England,"Uxbridge, London",8799800,England_Region,"Greater London population, ONS 2023",Tony Dovolani,TonyDovolani,180000,Twitter
Janel Parrish,Hawaii,United States,Hawaii,1435138,US_State,Census 2023 PEP - Hawaii,Valentin Chmerkovskiy,ValChmerkoskiy,850000,Twitter
Jason Lewis,California,United States,California,38965193,US_State,Census 2023 PEP - California,Peta Murgatroyd,PetaMurgatroyd,620000,Twitter
Jason Mraz,Virginia,United States,Virginia,8683619,US_State,Census 2023 PEP - Virginia,Daniella Karagach,DaniellaKaragach,280000,Twitter
Jason Taylor,Pennsylvania,United States,Pennsylvania,12961683,US_State,Census 2023 PEP - Pennsylvania,Edyta Sliwinska,EdytaSliwinska,45000,Twitter
Jeannie Mai,California,United States,California,38965193,US_State,Census 2023 PEP - California,Brandon Armstrong,Brandon_DWTS,85000,Twitter
Jeffrey Ross,New Jersey,United States,New Jersey,9290841,US_State,Census 2023 PEP - New Jersey,Edyta Sliwinska,EdytaSliwinska,45000,Twitter
Jen Affleck,Utah,United States,Utah,3417734,US_State,Census 2023 PEP - Utah,Jan Ravnik,,10000,Instagram estimate
Jenn Tran,Florida,United States,Florida,22610726,US_State,Census 2023 PEP - Florida,Sasha Farber,SashaFarber,180000,Twitter
Jennie Finch Daigle,California,United States,California,38965193,US_State,Census 2023 PEP - California,Keo Motsepe,keo_motsepe,95000,Twitter
Jennie Garth,Illinois,United States,Illinois,12549689,US_State,Census 2023 PEP - Illinois,Derek Hough,daborhough,1800000,Twitter
Jennifer Grey,New York,United States,New York,19571216,US_State,Census 2023 PEP - New York,Derek Hough,daborhough,1800000,Twitter
Jerry Rice,Mississippi,United States,Mississippi,2939690,US_State,Census 2023 PEP - Mississippi,Anna Trebunskaya,AnnaTrebunskaya,50000,Twitter
Jerry Springer,,England,"Highgate, London",8799800,England_Region,"Greater London population, ONS 2023",Kym Johnson,KymHerjavec,280000,Twitter
Jesse Metcalfe,California,United States,California,38965193,US_State,Census 2023 PEP - California,Sharna Burgess,SharnaBurgess,480000,Twitter
Jessie James Decker,,Italy,Vicenza,111620,Italy_Region,"Vicenza city population, ISTAT 2023",Alan Bersten,Dance10Alan,220000,Twitter
Jimmie Allen,Delaware,United States,Delaware,1031890,US_State,Census 2023 PEP - Delaware,Emma Slater,EmmaSlaterDance,350000,Twitter
JoJo Siwa,Nebraska,United States,Nebraska,1978379,US_State,Census 2023 PEP - Nebraska,Jenna Johnson,jennajohnson,680000,Twitter
Joanna Krupa,,Poland,Warsaw,1860281,Poland_Region,"Warsaw city population, GUS Poland 2023",Derek Hough,daborhough,1800000,Twitter
Jodie Sweetin,California,United States,California,38965193,US_State,Census 2023 PEP - California,Keo Motsepe,keo_motsepe,95000,Twitter
Joe Amabile,Illinois,United States,Illinois,12549689,US_State,Census 2023 PEP - Illinois,Jenna Johnson,jennajohnson,680000,Twitter
Joey Fatone,New York,United States,New York,19571216,US_State,Census 2023 PEP - New York,Kym Johnson,KymHerjavec,280000,Twitter
Joey Graziadei,Louisiana,United States,Louisiana,4573749,US_State,Census 2023 PEP - Louisiana,Jenna Johnson,jennajohnson,680000,Twitter
Joey Lawrence,Pennsylvania,United States,Pennsylvania,12961683,US_State,Census 2023 PEP - Pennsylvania,Edyta Sliwinska,EdytaSliwinska,45000,Twitter
Joey McIntyre,Massachusetts,United States,Massachusetts,7001399,US_State,Census 2023 PEP - Massachusetts,Ashly DelGrosso,,5000,Instagram estimate
John O'Hurley,Maine,United States,Maine,1395722,US_State,Census 2023 PEP - Maine,Charlotte Jorgensen,,1000,estimate
John Ratzenberger,Connecticut,United States,Connecticut,3617176,US_State,Census 2023 PEP - Connecticut,Edyta Sliwinska,EdytaSliwinska,45000,Twitter
John Schneider,New York,United States,New York,19571216,US_State,Census 2023 PEP - New York,Emma Slater,EmmaSlaterDance,350000,Twitter
Johnny Damon,Kansas,United States,Kansas,2940546,US_State,Census 2023 PEP - Kansas,Emma Slater,EmmaSlaterDance,350000,Twitter
Johnny Weir,Pennsylvania,United States,Pennsylvania,12961683,US_State,Census 2023 PEP - Pennsylvania,Britt Stewart,BrittStewart,45000,Twitter
Jonathan Bennett,Ohio,United States,Ohio,11785935,US_State,Census 2023 PEP - Ohio,Allison Holker,Alison_Holker,450000,Twitter
Jordan Chiles,Texas,United States,Texas,30503301,US_State,Census 2023 PEP - Texas,Ezra Sosa,,25000,Instagram estimate
Jordan Fisher,Alabama,United States,Alabama,5108468,US_State,Census 2023 PEP - Alabama,Lindsay Arnold,lindsayarnold,380000,Twitter
Jordin Sparks,Arizona,United States,Arizona,7431344,US_State,Census 2023 PEP - Arizona,Brandon Armstrong,Brandon_DWTS,85000,Twitter
Joseph Baena,California,United States,California,38965193,US_State,Census 2023 PEP - California,Daniella Karagach,DaniellaKaragach,280000,Twitter
